Dateandtime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2022-04-14 15:00:00,3.238,3.09,2.931,2.916,2.843,3.004,3.056
2022-04-14 16:00:00,3.079,2.496,2.247,2.144,2.08,2.101,2.14
2022-04-14 17:00:00,0.97,0.969,0.974,0.962,0.955,0.981,1.002
2022-04-14 18:00:00,2.571,2.084,1.884,1.804,1.729,1.7,1.71
2022-04-14 19:00:00,1.893,1.477,1.271,1.193,1.14,1.097,1.103
2022-04-14 20:00:00,1.401,1.324,1.268,1.223,1.186,1.162,1.119
2022-04-14 21:00:00,3.991,2.431,1.956,1.742,1.639,1.564,1.593
2022-04-14 22:00:00,1.566,1.175,1.049,0.966,0.937,0.962,0.955
2022-04-14 23:00:00,0.444,0.422,0.407,0.4,0.388,0.393,0.405
2022-04-15 00:00:00,0.21,0.239,0.205,0.176,0.199,0.172,0.169
2022-04-15 01:00:00,0.39,0.44,0.413,0.416,0.423,0.476,0.501
2022-04-15 02:00:00,0.336,0.325,0.359,0.343,0.35,0.362,0.377
2022-04-15 03:00:00,0.395,0.344,0.32,0.327,0.29,0.333,0.311
2022-04-15 04:00:00,0.225,0.195,0.156,0.164,0.154,0.118,0.145
2022-04-15 05:00:00,0.254,0.25,0.254,0.243,0.268,0.28,0.269
2022-04-15 06:00:00,0.929,0.946,0.89,0.874,0.855,0.912,0.924
2022-04-15 07:00:00,1.088,1.04,0.974,0.98,0.948,0.961,0.997
2022-04-15 08:00:00,1.092,0.916,0.827,0.777,0.769,0.768,0.788
2022-04-15 09:00:00,1.221,1.164,1.092,1.075,1.03,1.056,1.087
2022-04-15 10:00:00,1.745,1.68,1.615,1.642,1.582,1.664,1.686
2022-04-15 11:00:00,4.475,2.83,1.96,1.284,0.96,0.755,0.776
2022-04-15 12:00:00,2.598,1.193,0.765,0.576,0.435,0.342,0.353
2022-04-15 13:00:00,3.19,1.508,1.023,0.789,0.66,0.578,0.558
2022-04-15 14:00:00,0.509,0.507,0.516,0.506,0.522,0.512,0.523
2022-04-15 15:00:00,0.603,0.568,0.577,0.578,0.546,0.59,0.627
2022-04-15 16:00:00,1.217,0.713,0.578,0.5,0.449,0.445,0.435
2022-04-15 17:00:00,0.376,0.421,0.422,0.428,0.425,0.431,0.447
2022-04-15 18:00:00,0.896,0.831,0.775,0.77,0.775,0.835,0.852
2022-04-15 19:00:00,2.646,1.894,1.638,1.524,1.443,1.464,1.469
2022-04-15 20:00:00,2.156,2.053,1.964,1.947,1.88,1.999,2.019
2022-04-15 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-15 22:00:00,2.561,2.2,2.007,1.924,1.82,1.762,1.773
2022-04-15 23:00:00,2.474,2.21,2.052,1.986,1.956,1.975,2.01
2022-04-16 00:00:00,1.841,1.429,1.272,1.227,1.21,1.262,1.257
2022-04-16 01:00:00,1.552,1.253,1.126,1.112,1.103,1.165,1.168
2022-04-16 02:00:00,2.083,1.557,1.383,1.355,1.355,1.42,1.456
2022-04-16 03:00:00,1.723,1.301,1.151,1.121,1.131,1.187,1.218
2022-04-16 04:00:00,1.994,1.382,1.22,1.147,1.127,1.212,1.283
2022-04-16 05:00:00,1.971,1.372,1.202,1.133,1.061,1.003,0.984
2022-04-16 06:00:00,1.256,0.906,0.793,0.742,0.675,0.619,0.593
2022-04-16 07:00:00,1.72,1.46,1.33,1.302,1.26,1.246,1.251
2022-04-16 08:00:00,2.316,1.427,1.132,1.011,0.926,0.859,0.863
2022-04-16 09:00:00,2.118,1.946,1.824,1.843,1.859,1.97,2.015
2022-04-16 10:00:00,2.444,1.99,1.79,1.762,1.782,1.954,1.973
2022-04-16 11:00:00,2.526,2.28,2.14,2.124,2.209,2.412,2.516
2022-04-16 12:00:00,2.15,1.84,1.709,1.652,1.648,1.81,1.867
2022-04-16 13:00:00,4.007,2.999,2.651,2.486,2.37,2.368,2.408
2022-04-16 14:00:00,2.111,1.939,1.825,1.773,1.743,1.796,1.835
2022-04-16 15:00:00,2.052,1.666,1.462,1.403,1.344,1.395,1.417
2022-04-16 16:00:00,1.947,1.557,1.406,1.345,1.297,1.351,1.354
2022-04-16 17:00:00,1.897,1.592,1.445,1.4,1.33,1.398,1.413
2022-04-16 18:00:00,3.632,3.089,2.81,2.717,2.622,2.716,2.765
2022-04-16 19:00:00,2.508,2.298,2.136,2.066,1.991,2.055,2.083
2022-04-16 20:00:00,2.589,2.568,2.455,2.467,2.438,2.481,2.525
2022-04-16 21:00:00,4.057,2.76,2.352,2.155,2.056,2.012,2.075
2022-04-16 22:00:00,5.499,3.094,2.351,2.046,1.83,1.723,1.742
2022-04-16 23:00:00,5.203,2.898,2.199,1.876,1.661,1.616,1.612
2022-04-17 00:00:00,3.471,3.367,3.118,3.008,2.894,3.033,3.088
2022-04-17 03:00:00,1.239,1.063,0.982,0.933,0.883,0.892,0.879
2022-04-17 04:00:00,1.707,1.577,1.468,1.419,1.363,1.396,1.381
2022-04-17 05:00:00,1.493,1.258,1.154,1.105,1.063,1.064,1.087
2022-04-17 06:00:00,0.911,0.726,0.64,0.626,0.592,0.556,0.601
2022-04-17 07:00:00,2.044,1.761,1.639,1.562,1.506,1.498,1.538
2022-04-17 08:00:00,3.693,2.773,2.454,2.285,2.192,2.162,2.193
2022-04-17 10:00:00,2.819,2.607,2.399,2.322,2.204,2.197,2.214
2022-04-17 11:00:00,3.566,2.808,2.523,2.397,2.302,2.304,2.343
2022-04-17 12:00:00,3.763,3.338,3.084,2.972,2.843,2.828,2.868
2022-04-17 13:00:00,3.499,2.913,2.653,2.478,2.363,2.326,2.366
2022-04-17 14:00:00,2.44,2.083,1.934,1.851,1.779,1.724,1.782
2022-04-17 15:00:00,2.591,2.45,2.356,2.294,2.197,2.208,2.262
2022-04-17 16:00:00,3.192,2.741,2.493,2.429,2.343,2.356,2.351
2022-04-17 17:00:00,3.463,3.024,2.797,2.689,2.575,2.609,2.615
2022-04-17 18:00:00,3.338,2.818,2.576,2.509,2.391,2.41,2.395
2022-04-17 19:00:00,3.791,2.91,2.556,2.359,2.264,2.2,2.227
2022-04-17 20:00:00,1.966,1.963,1.829,1.741,1.669,1.654,1.668
2022-04-17 21:00:00,2.958,2.281,1.949,1.813,1.678,1.614,1.587
